"c_custkey","c_name","c_address","c_nationkey","c_phone","c_acctbal","c_mktsegment","c_comment"
1,"Customer#000000001","j5JsirBM9PsCy0O1m",15,"25-989-741-2988",711.56,"BUILDING","to the even, regular platelets. regular, ironic epitaphs nag e"
2,"Customer#000000002","487LW1dovn6Q4dMVymKwwLE9OKf3QG",13,"23-768-687-3665",121.65,"AUTOMOBILE","l accounts. blithely ironic theodolites integrate boldly: caref"
3,"Customer#000000003","fkRGN8nY4pkE",1,"11-719-748-3364",7498.12,"AUTOMOBILE"," deposits eat slyly ironic, even instructions. express foxes detect slyly. blithely even accounts abov"
4,"Customer#000000004","4u58h fqkyE",4,"14-128-190-5944",2866.83,"MACHINERY"," requests. final, regular ideas sleep final accou"
5,"Customer#000000005","hwBtxkoBF qSW4KrIk5U 2B1AU7H",3,"13-750-942-6364",794.47,"HOUSEHOLD","n accounts will have to unwind. foxes cajole accor"
6,"Customer#000000006"," g1s,pzDenUEBW3O,2 pxu0f9n2g64rJrt5E",20,"30-114-968-4951",7638.57,"AUTOMOBILE","tions. even deposits boost according to the slyly bold packages. final accounts cajole requests. furious"
7,"Customer#000000007","8OkMVLQ1dK6Mbu6WG9 w4pLGQ n7MQ",18,"28-190-982-9759",9561.95,"AUTOMOBILE","ainst the ironic, express theodolites. express, even pinto beans among the exp"
8,"Customer#000000008","j,pZ,Qp,qtFEo0r0c 92qobZtlhSuOqbE4JGV",17,"27-147-574-9335",6819.74,"BUILDING","among the slyly regular theodolites kindle blithely courts. carefully even theodolites haggle slyly along the ide"
9,"Customer#000000009","vgIql8H6zoyuLMFNdAMLyE7 H9",8,"18-338-906-3675",8324.07,"FURNITURE","r theodolites according to the requests wake thinly excuses: pending requests haggle furiousl"
10,"Customer#000000010","Vf mQ6Ug9Ucf5OKGYq fsaX AtfsO7,rwY",5,"15-741-346-9870",2753.54,"HOUSEHOLD","es regular deposits haggle. fur"
11,"Customer#000000011","cG48rYjF3Aw7xs hKUXXqmI",23,"33-464-151-3439",-272.60,"BUILDING","ckages. requests sleep slyly. quickly even pinto beans promise above the slyly regular pinto beans. "
12,"Customer#000000012","Sb4gxKs7W1AZa",13,"23-791-276-1263",3396.49,"HOUSEHOLD"," to the carefully final braids. blithely regular requests nag. ironic theodolites boost quickly along"
13,"Customer#000000013","Ez3ax0D5HnUbeUVSxoX8a8B",3,"13-761-547-5974",3857.34,"BUILDING","ounts sleep carefully after the close frays. carefully bold notornis use ironic requests. blithely"
14,"Customer#000000014","h3GFMzeFfYiamqr",1,"11-845-129-3851",5266.30,"FURNITURE",", ironic packages across the unus"
15,"Customer#000000015","3y4KK4CcfNwNCTP0u0p1Rk6aeghe3Z30mo0VnD",23,"33-687-542-7601",2788.52,"HOUSEHOLD"," platelets. regular deposits detect asymptotes. blithely unusual packages nag slyly at the fluf"
16,"Customer#000000016","P2IQMff18ercaYrO,40",10,"20-781-609-3107",4681.03,"FURNITURE","kly silent courts. thinly regular theodolites sleep fluffily after "
